Model,MAE,RMSE,R² Score
Random Forest,1682.5441664465127,2853.374222798967,0.9234536811487333
XGBoost,1630.9575327325076,3150.45883515208,0.9066843551061197
Decision Tree,2440.5046212348643,3900.6595801420876,0.8569516202348368
Ridge Regression,2592.8185805737353,4364.93039789799,0.8208728199704198
Linear Regression,12696183213961.18,1085508375006494.1,-1.107830200004795e+22
